English  	French   	
1	a	un(e)	1
2	a bit	un peu	3
3	a few; some	quelques	3
4	a lot of	beaucoup de	3
5	about	environ	5
6	above	au-dessus de; ci-dessus	7
7	across from	d'en face	7
8	African	africain	5
9	after	après	2
10	afternoon	l'après-midi	2
11	again	de nouveau	3
12	agriculture	l'agriculture f.	4
13	airplane	l'avion m.	5
14	airport	l'aéroport m.	5
15	almost	presque; quasiment	2
16	alone	seul	4
17	already	déja	3
18	also	aussi	3
19	always	toujours	3
20	American	américain	5
21	among	parmi	7
22	and	et	1
23	anthropology	l'anthropologie f.	8
24	apartment	l'appartement m.	3
25	April	avril	1
26	as soon as	dès que; aussitôt que	7
27	August	août	1
28	aunt	la tante	3
29	autumn	l'automme m.	1
30	bad	mauvais	2
31	bank	la banque	5
32	beach	la plage	5
33	beautiful	beau	3
34	because	parce que	3
35	behind	derrière	7
36	below	au-dessous de; ci-dessous	7
37	bicycle	le vélo	4
38	bird	l'oiseau m.	8
39	birthday	l'anniversaire m.	4
40	black	noir	1
41	blouse	la blouse	5
42	blue	bleu	1
43	boat	le bateau	4
44	book	le livre	4
45	boring	ennuyeux	5
46	boy	le garçon	2
47	breakfast	le petit déjeuner	4
48	brother	le frère	3
49	bus	l'autobus m.	5
50	bush	la brousse	6
51	but	mais	2
52	cabin	la villa	5
53	calendar	le calendrier	1
54	capital	la capitale	5
55	car	la voiture	5
56	carefully	soigneusement	6
57	castle	le château	6
58	cat	le chat	6
59	certainly	certainement	5
60	chair	la chaise	6
61	child	l'enfant	3
62	choice	le choix	6
63	church	l'église f.	4
64	clinic	la clinique	5
65	clock	le réveil	6
66	coffee	le café	3
67	colony	la colonie	7
68	company	la société	7
69	countryside	la campagne	7
70	crazy	fou	7
71	dad	le papa	3
72	day	le jour	1
73	December	décembre	1
74	desk or office	le bureau	4
75	difficult	difficile	3
76	dinner	le dîner	3
77	doctor	le médicin	5
78	dog	le chien	8
79	door	la porte	7
80	dress	la robe	5
81	drink	la boisson	3
82	during	pendant	3
83	each; every	chaque	3
84	easy	facile	3
85	economics	les sciences économiques f.	6
86	eight	huit	1
87	eighteen	dix-huit	1
88	eleven	onze	1
89	energetic	énergique	4
90	English	anglais	2
91	especially; particularly	surtout	4
92	European	européen	5
93	evening	le soir	1
94	expensive	cher	3
95	famous	célèbre	4
96	far from	loin de	5
97	fat	gros	3
98	father	le père	3
99	February	février	1
100	ferry	le bac	5
101	fifteen	quinze	1
102	fifty	cinquante	1
103	first	le premier; d'abord	4
104	five	cinq	1
105	flower	la fleur	4
106	flower garden	le jardin	4
107	for	pour	2
108	for example	par exemple	4
109	foreign	étranger	5
110	forest	la forêt	5
111	formerly; in the past	autrefois	7
112	forty	quarante	1
113	four	quatre	1
114	fourteen	quatorze	1
115	franc	le franc	9
116	French	français	2
117	Friday	vendredi	1
118	friend	l'ami(e)	3
119	funny	drôle	3
120	game	le match	5
121	garbage can	la corbeille	4
122	girl	la fille	3
123	glove	le gant	5
124	good	bon	2
125	grandmother	la grand-mère	3
126	grass	l'herbe f.	4
127	gray	gris	1
128	great!	chouette!	2
129	green	vert	1
130	ground	la terre	4
131	half past	et demie	3
132	ham	le jambon	4
133	handsome	belle	3
134	happy	heureux	3
135	he	il	2
136	he can	il peut	2
137	he goes	il va	2
138	he has	il a	2
139	he is	il est	2
140	he makes	il fait	2
141	he speaks	il parle	2
142	he wants	il veut	3
143	he writes	il écrit	3
144	hello	bonjour	2
145	here	ici	3
146	him	lui	3
147	his f.	sa	4
148	his m.	son	4
149	his p.	ses	4
150	hospital	l'hôpital m.	6
151	hotel	l'hôtel m.	5
152	hour	l'heure f.	1
153	house	la maison	4
154	how are you?	comment ça va?	2
155	how many?	combien de?	2
156	how?	comment?	2
157	hundred	cent	1
158	hurry!	vite!	3
159	husband	le mari	3
160	I	je	2
161	I am	je suis	2
162	I can	je peux	2
163	I do not know	je ne sais pas	2
164	I go	je vais	2
165	I have	j'ai	2
166	I have spoken	j'ai parlé	8
167	I make	je fais	2
168	I speak	je parle	2
169	I think	je crois	3
170	I tried	j'ai essayé	8
171	I want	je veux	2
172	I was trying	j'essayais	8
173	I will try	j'essaierai	8
174	if	si	2
175	in front of	devant	7
176	in the fall	en automme	6
177	in the summer	en été	6
178	in the winter	en hiver	6
179	in; at; to	à	2
180	in; into; inside	dans	2
181	inside	à l'intérieur; dedans	4
182	interesting	intéressant	3
183	is there?	y a-t-il?	3
184	it is bad out	il fait mauvais	3
185	it is cold	il fait froid	3
186	it is freezing	il gèle	3
187	it is hot	il fait chaud	3
188	it is necessary to go	il faut aller	4
189	it is nice out	il fait beau	3
190	it is raining	il pleut	3
191	it is snowing	il neige	3
192	it is sunny	il fait du soleil	3
193	it is windy	il fait du vent	3
194	January	janvier	1
195	January 1st	le premier janvier	1
196	January 2nd	le deux janvier	1
197	job	l'emploi m.	7
198	July	juillet	1
199	June	juin	1
200	lady	la dame	2
201	large	grand	2
202	last month	le mois dernier	7
203	last Saturday	samedi dernier	7
204	last week	la semaine dernière	7
205	last year	l'année dernière	7
206	later	plus tard	3
207	lazy	paresseux	3
208	left	gauche	4
209	let's go!	allons!	2
210	letter	la lettre	5
211	library	la bibliothèque	5
212	like; as; since	comme	3
213	long	long	3
214	luck	la chance	6
215	lunch	le déjeuner	4
216	man	l'homme m.	3
217	March	mars	1
218	marine	le marin	8
219	market	le marché	4
220	May	mai	1
221	maybe	peut-être	3
222	me	moi	2
223	medicine	la médicine	6
224	miss	la mademoiselle	3
225	Mister	le monsieur	3
226	mom	la maman	3
227	Monday	lundi	1
228	money	l'argent m.	3
229	month	le mois	1
230	morning	le matin	1
231	mother	la mère	3
232	mountains	la montagne	5
233	movie house	le cinéma	6
234	Mrs.	madame	3
235	music	la musique	6
236	my f.	ma	4
237	my m.	mon	4
238	my name is	je m'appelle	2
239	my pl.	mes	4
240	naughty	méchant	7
241	near	près de	7
242	neighbor	le voisin	3
243	new	nouveau	4
244	newspaper	le journal	5
245	next Monday	lundi prochain	8
246	next month	le mois prochain	8
247	next to	à coté de	7
248	next week	la semaine prochaine	8
249	next year	l'année prochaine	8
250	nice	sympa	3
251	night	la nuit	1
252	nine	neuf	1
253	nineteen	dix-neuf	1
254	no	non	1
255	no?	n'est-ce pas?	2
256	not at all	pas du tout	2
257	not bad	pas mal	2
258	not for me	pas pour moi	4
259	November	novembre	1
260	now	maintenant	2
261	October	octobre	1
262	often	souvent	3
263	old	vieux	3
264	on foot	à pied	4
265	on the corner	au coin de la rue	7
266	on; upon; over	sur	7
267	once	une fois que	7
268	only	seulement	3
269	or	ou	3
270	our	notre	4
271	our pl.	nos	4
272	outside	dehors	7
273	overcoat	le manteau	5
274	paper	le papier	5
275	park	le parc	5
276	pen	le stylo	5
277	pencil	le crayon	5
278	people	les gens	3
279	people are	on est	4
280	people go	on va	4
281	people have	on a	4
282	people make	on fait	4
283	people speak	on parle	4
284	physics	la physique	5
285	piano	le piano	6
286	picture	la photo	6
287	picturesque	pittoresque	6
288	play	la pièce	6
289	poem	le poème	6
290	poet	le poète	6
291	police officer	l'agent m.	5
292	political science	les sciences politiques f.	5
293	port	le port	5
294	post office	la poste	4
295	pretty	joli	3
296	profession	la profession	8
297	quarter past	et quart	8
298	quarter to	moins le quart	8
299	rain	la pluie	3
300	raincoat	l'imperméable m.	5
301	really	vraiment	3
302	red	rouge	1
303	region	la région	5
304	relationship	les rapports m.	8
305	restaurant	le restaurant	5
306	right	droite	3
307	right away	tout de suite	3
308	river	le fleuve	5
309	road	la route	5
310	sad	triste	3
311	same	même	3
312	Saturday	samedi	1
313	scenery	le paysage	5
314	school	l'école f.	3
315	scientist	le scientifique	8
316	screen	l'écran m.	8
317	sea	la mer	5
318	secretary	la secrétaire	5
319	September	septembre	1
320	seven	sept	1
321	seventeen	dix-sept	1
322	several	plusieurs	4
323	she or her	elle	2
324	shirt	la chemise	5
325	sister	la soeur	3
326	six	six	1
327	sixteen	seize	1
328	sixty	soixante	1
329	skinny	maigre	4
330	skirt	la jupe	6
331	sky	le ciel	5
332	small	petit	3
333	soldier	le soldat	8
334	something	quelque chose	4
335	sometimes	quelquefois; parfois	4
336	soon	bientôt	4
337	spring	le printemps	4
338	store	le magasin	4
339	strange	bizarre	6
340	student	l'étudiant(e)	5
341	such	tel	5
342	suddenly	tout à coup	7
343	suit	le complet	6
344	summer	l'été m.	3
345	sun	le soleil	4
346	Sunday	dimanche	1
347	supermarket	le supermarché	4
348	surrounded by	entouré de	7
349	sweater	le pull-over	6
350	table	la table	3
351	teacher	le professeur	5
352	television	la télé	4
